ts=1771443693304 [2026-02-18T19:41:33.304Z] Model: claude-4.6-opus-high-thinking | Tokens: 463,541 | Cost: $3.18 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771445958814 [2026-02-18T20:19:18.814Z] Model: claude-4.6-opus-high-thinking | Tokens: 3,149,943 | Cost: $6.20 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771449158608 [2026-02-18T21:12:38.608Z] Model: claude-4.6-opus-high-thinking | Tokens: 5,068,625 | Cost: $8.69 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771449725071 [2026-02-18T21:22:05.071Z] Model: claude-4.6-opus-high-thinking | Tokens: 281,922 | Cost: $3.52 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771449741052 [2026-02-18T21:22:21.052Z] Model: claude-4.6-opus-high-thinking | Tokens: 2,092,093 | Cost: $2.40 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771452201697 [2026-02-18T22:03:21.697Z] Model: claude-4.6-opus-high-thinking | Tokens: 27,384 | Cost: $0.18 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771452775818 [2026-02-18T22:12:55.818Z] Model: claude-4.6-opus-high-thinking | Tokens: 592,837 | Cost: $4.08 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771453990845 [2026-02-18T22:33:10.845Z] Model: claude-4.6-opus-high-thinking | Tokens: 235,814 | Cost: $0.60 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771454684549 [2026-02-18T22:44:44.549Z] Model: claude-4.6-opus-high-thinking | Tokens: 0 | Cost: $0.00 | Kind: USAGE_EVENT_KIND_ERRORED_NOT_CHARGED
ts=1771454694675 [2026-02-18T22:44:54.675Z] Model: claude-4.6-opus-high-thinking | Tokens: 81,992 | Cost: $0.23 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771455150064 [2026-02-18T22:52:30.064Z] Model: claude-4.6-opus-high-thinking | Tokens: 244,316 | Cost: $0.43 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771455228996 [2026-02-18T22:53:48.996Z] Model: claude-4.6-opus-high-thinking | Tokens: 48,682 | Cost: $0.06 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771455334890 [2026-02-18T22:55:34.890Z] Model: claude-4.6-opus-high-thinking | Tokens: 49,856 | Cost: $0.05 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771455484475 [2026-02-18T22:58:04.475Z] Model: claude-4.6-opus-high-thinking | Tokens: 168,736 | Cost: $0.26 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771455764945 [2026-02-18T23:02:44.945Z] Model: claude-4.6-opus-high-thinking | Tokens: 37,974 | Cost: $0.04 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771455903561 [2026-02-18T23:05:03.561Z] Model: claude-4.6-opus-high-thinking | Tokens: 127,697 | Cost: $0.17 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771456171023 [2026-02-18T23:09:31.023Z] Model: claude-4.6-opus-high-thinking | Tokens: 145,176 | Cost: $0.15 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771458190670 [2026-02-18T23:43:10.670Z] Model: claude-4.6-opus-high-thinking | Tokens: 26,856 | Cost: $0.17 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771458445720 [2026-02-18T23:47:25.720Z] Model: claude-4.6-opus-high-thinking | Tokens: 259,507 | Cost: $0.39 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771458615482 [2026-02-18T23:50:15.482Z] Model: claude-4.6-opus-high-thinking | Tokens: 803,144 | Cost: $0.86 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771460417713 [2026-02-19T00:20:17.713Z] Model: claude-4.6-opus-high-thinking | Tokens: 269,659 | Cost: $0.69 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771460675681 [2026-02-19T00:24:35.681Z] Model: claude-4.6-opus-high-thinking | Tokens: 55,484 | Cost: $0.05 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771460699848 [2026-02-19T00:24:59.848Z] Model: claude-4.6-opus-high-thinking | Tokens: 230,586 | Cost: $0.24 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771460869329 [2026-02-19T00:27:49.329Z] Model: claude-4.6-opus-high-thinking | Tokens: 79,964 | Cost: $0.08 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771461181196 [2026-02-19T00:33:01.196Z] Model: claude-4.6-opus-high-thinking | Tokens: 0 | Cost: $0.00 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771461216602 [2026-02-19T00:33:36.602Z] Model: claude-4.6-opus-high-thinking | Tokens: 0 | Cost: $0.00 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771461422840 [2026-02-19T00:37:02.840Z] Model: claude-4.6-opus-high-thinking | Tokens: 0 | Cost: $0.00 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771461457409 [2026-02-19T00:37:37.409Z] Model: claude-4.6-opus-high-thinking | Tokens: 149,648 | Cost: $0.38 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771461887984 [2026-02-19T00:44:47.984Z] Model: claude-4.6-opus-high-thinking | Tokens: 0 | Cost: $0.00 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771461933742 [2026-02-19T00:45:33.742Z] Model: claude-4.6-opus-high-thinking | Tokens: 536,471 | Cost: $0.54 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771508047988 [2026-02-19T13:34:07.988Z] Model: claude-4.6-opus-high-thinking | Tokens: 1,138,321 | Cost: $1.01 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771508549386 [2026-02-19T13:42:29.386Z] Model: claude-4.6-opus-high-thinking | Tokens: 51,155 | Cost: $0.04 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771508617578 [2026-02-19T13:43:37.578Z] Model: claude-4.6-opus-high-thinking | Tokens: 207,285 | Cost: $0.13 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771508679866 [2026-02-19T13:44:39.866Z] Model: claude-4.6-opus-high-thinking | Tokens: 52,753 | Cost: $0.04 | Kind: USAGE_EVENT_KIND_USAGE_BASED
